,Team,Gtm,Date,Opp,Rslt,HR,RBI
0,ARI,1,Apr 7,SDP,"W,4-2",1,3
1,ARI,2,Apr 8,SDP,"L,0-3",0,0
2,ARI,3,Apr 9,SDP,"L,2-5",1,2
3,ARI,4,Apr 10,SDP,"L,5-10",2,5
4,ARI,5,Apr 12,HOU,"L,1-2",1,1
5,ARI,6,Apr 13,HOU,"W,3-2",0,3
6,ARI,7,Apr 15,NYM,"L,3-10",1,3
7,ARI,8,Apr 16,NYM,"W,3-2",1,3
8,ARI,9,Apr 17,NYM,"L,0-5",0,0
9,ARI,10,Apr 19 (1),WSN,"L,1-6",1,1
10,ARI,11,Apr 19 (2),WSN,"L,0-1",0,0
11,ARI,12,Apr 20,WSN,"W,11-2",1,10
12,ARI,13,Apr 21,WSN,"W,4-3",3,4
13,ARI,14,Apr 22,NYM,"L,5-6",2,5
14,ARI,15,Apr 23,NYM,"W,5-2",0,5
15,ARI,16,Apr 24,NYM,"L,2-6",1,2
16,ARI,17,Apr 25,LAD,"L,0-4",0,0
17,ARI,18,Apr 26,LAD,"W,5-3",1,4
18,ARI,19,Apr 27,LAD,"W,3-1",1,2
19,ARI,20,Apr 28,STL,"L,3-8",1,3
20,ARI,21,Apr 29,STL,"W,6-2",0,6
21,ARI,22,Apr 30,STL,"W,2-0",2,2
22,ARI,May,May,Opp,Rslt,HR,RBI
23,ARI,23,May 1,STL,"L,5-7",4,5
24,ARI,24,May 2,MIA,"W,5-4",1,5
25,ARI,25,May 3,MIA,"W,5-4",2,5
26,ARI,26,May 4,MIA,"W,8-7",2,7
27,ARI,27,May 6,COL,"W,4-1",2,4
28,ARI,28,May 7,COL,"L,1-4",0,1
29,ARI,29,May 8,COL,"W,4-0",0,3
30,ARI,30,May 9,MIA,"W,4-3",1,4
31,ARI,31,May 10,MIA,"W,9-3",1,8
32,ARI,32,May 11,MIA,"L,3-11",2,3
33,ARI,33,May 13,CHC,"W,4-3",0,3
34,ARI,34,May 14,CHC,"L,2-4",0,2
35,ARI,35,May 15,CHC,"L,2-3",0,1
36,ARI,36,May 16,LAD,"L,4-5",2,4
37,ARI,37,May 17 (1),LAD,"L,6-7",2,6
38,ARI,38,May 17 (2),LAD,"L,3-12",2,3
39,ARI,39,May 18,LAD,"L,3-5",0,3
40,ARI,40,May 19,CHC,"W,3-1",1,3
41,ARI,41,May 20,CHC,"W,10-6",7,10
42,ARI,42,May 21,CHC,"W,7-6",1,6
43,ARI,43,May 22,CHC,"L,4-5",0,4
44,ARI,44,May 23,KCR,"W,9-5",2,9
45,ARI,45,May 24,KCR,"W,8-6",4,7
46,ARI,46,May 26,LAD,"L,1-14",1,1
47,ARI,47,May 27,LAD,"L,4-6",0,4
48,ARI,48,May 28,LAD,"L,2-3",0,2
49,ARI,49,May 29,LAD,"L,1-3",0,1
50,ARI,50,May 30,ATL,"W,6-2",1,6
51,ARI,51,May 31,ATL,"W,8-7",1,8
52,ARI,Jun,Jun,Opp,Rslt,HR,RBI
53,ARI,52,Jun 1,ATL,"L,0-6",0,0
54,ARI,53,Jun 3,PIT,"W,8-6",5,7
55,ARI,54,Jun 4,PIT,"L,1-2",0,0
56,ARI,55,Jun 5,PIT,"L,0-3",0,0
57,ARI,56,Jun 6,CIN,"L,0-7",0,0
58,ARI,57,Jun 7,CIN,"L,8-14",2,8
59,ARI,58,Jun 8,CIN,"W,7-0",3,7
60,ARI,59,Jun 9,CIN,"W,5-4",1,5
61,ARI,60,Jun 10,PHI,"L,5-7",1,5
62,ARI,61,Jun 11,PHI,"L,0-4",0,0
63,ARI,62,Jun 12,PHI,"W,13-1",1,11
64,ARI,63,Jun 13,CIN,"L,4-5",1,4
65,ARI,64,Jun 14,CIN,"L,3-5",0,1
66,ARI,65,Jun 15,CIN,"W,7-4",1,6
67,ARI,66,Jun 17,MIN,"W,7-2",2,5
68,ARI,67,Jun 18,MIN,"L,1-11",0,1
69,ARI,68,Jun 19,MIN,"W,7-1",4,7
70,ARI,69,Jun 20,SDP,"L,1-4",0,1
71,ARI,70,Jun 21,SDP,"L,2-3",1,2
72,ARI,71,Jun 22,SDP,"L,4-10",2,3
73,ARI,72,Jun 24,DET,"L,1-5",0,1
74,ARI,73,Jun 25,DET,"L,3-6",1,3
75,ARI,74,Jun 26,DET,"W,11-7",2,11
76,ARI,75,Jun 28,SDP,"W,7-6",0,7
77,ARI,76,Jun 29,SDP,"L,0-4",0,0
78,ARI,Jul,Jul,Opp,Rslt,HR,RBI
