,Team,Gtm,Date,Opp,Rslt,ERA
0,ARI,1,Apr 7,SDP,"W,4-2",2.00
1,ARI,2,Apr 8,SDP,"L,0-3",2.00
2,ARI,3,Apr 9,SDP,"L,2-5",2.67
3,ARI,4,Apr 10,SDP,"L,5-10",3.75
4,ARI,5,Apr 12,HOU,"L,1-2",3.40
5,ARI,6,Apr 13,HOU,"W,3-2",2.95
6,ARI,7,Apr 15,NYM,"L,3-10",3.86
7,ARI,8,Apr 16,NYM,"W,3-2",3.62
8,ARI,9,Apr 17,NYM,"L,0-5",3.83
9,ARI,10,Apr 19(1),WSN,"L,1-6",3.78
10,ARI,11,Apr 19(2),WSN,"L,0-1",3.56
11,ARI,12,Apr 20,WSN,"W,11-2",3.43
12,ARI,13,Apr 21,WSN,"W,4-3",3.32
13,ARI,14,Apr 22,NYM,"L,5-6",3.41
14,ARI,15,Apr 23,NYM,"W,5-2",3.32
15,ARI,16,Apr 24,NYM,"L,2-6",3.36
16,ARI,17,Apr 25,LAD,"L,0-4",3.40
17,ARI,18,Apr 26,LAD,"W,5-3",3.38
18,ARI,19,Apr 27,LAD,"W,3-1",3.25
19,ARI,20,Apr 28,STL,"L,3-8",3.51
20,ARI,21,Apr 29,STL,"W,6-2",3.44
21,ARI,22,Apr 30,STL,"W,2-0",3.28
22,ARI,May,May,Opp,Rslt,ERA
23,ARI,23,May 1,STL,"L,5-7",3.37
24,ARI,24,May 2,MIA,"W,5-4",3.40
25,ARI,25,May 3,MIA,"W,5-4",3.42
26,ARI,26,May 4,MIA,"W,8-7",3.56
27,ARI,27,May 6,COL,"W,4-1",3.46
28,ARI,28,May 7,COL,"L,1-4",3.45
29,ARI,29,May 8,COL,"W,4-0",3.33
30,ARI,30,May 9,MIA,"W,4-3",3.32
31,ARI,31,May 10,MIA,"W,9-3",3.31
32,ARI,32,May 11,MIA,"L,3-11",3.55
33,ARI,33,May 13,CHC,"W,4-3",3.53
34,ARI,34,May 14,CHC,"L,2-4",3.55
35,ARI,35,May 15,CHC,"L,2-3",3.53
36,ARI,36,May 16,LAD,"L,4-5",3.58
37,ARI,37,May 17(1),LAD,"L,6-7",3.69
38,ARI,38,May 17(2),LAD,"L,3-12",3.90
39,ARI,39,May 18,LAD,"L,3-5",3.94
40,ARI,40,May 19,CHC,"W,3-1",3.86
41,ARI,41,May 20,CHC,"W,10-6",3.91
42,ARI,42,May 21,CHC,"W,7-6",3.93
43,ARI,43,May 22,CHC,"L,4-5",3.97
44,ARI,44,May 23,KCR,"W,9-5",3.97
45,ARI,45,May 24,KCR,"W,8-6",4.01
46,ARI,46,May 26,LAD,"L,1-14",4.23
47,ARI,47,May 27,LAD,"L,4-6",4.25
48,ARI,48,May 28,LAD,"L,2-3",4.22
49,ARI,49,May 29,LAD,"L,1-3",4.20
50,ARI,50,May 30,ATL,"W,6-2",4.15
51,ARI,51,May 31,ATL,"W,8-7",4.18
52,ARI,Jun,Jun,Opp,Rslt,ERA
53,ARI,52,Jun 1,ATL,"L,0-6",4.22
54,ARI,53,Jun 3,PIT,"W,8-6",4.23
55,ARI,54,Jun 4,PIT,"L,1-2",4.20
56,ARI,55,Jun 5,PIT,"L,0-3",4.19
57,ARI,56,Jun 6,CIN,"L,0-7",4.26
58,ARI,57,Jun 7,CIN,"L,8-14",4.42
59,ARI,58,Jun 8,CIN,"W,7-0",4.34
60,ARI,59,Jun 9,CIN,"W,5-4",4.34
61,ARI,60,Jun 10,PHI,"L,5-7",4.36
62,ARI,61,Jun 11,PHI,"L,0-4",4.33
63,ARI,62,Jun 12,PHI,"W,13-1",4.27
64,ARI,63,Jun 13,CIN,"L,4-5",4.28
65,ARI,64,Jun 14,CIN,"L,3-5",4.22
66,ARI,65,Jun 15,CIN,"W,7-4",4.22
67,ARI,66,Jun 17,MIN,"W,7-2",4.19
68,ARI,67,Jun 18,MIN,"L,1-11",4.29
69,ARI,68,Jun 19,MIN,"W,7-1",4.24
70,ARI,69,Jun 20,SDP,"L,1-4",4.24
71,ARI,70,Jun 21,SDP,"L,2-3",4.19
72,ARI,71,Jun 22,SDP,"L,4-10",4.25
73,ARI,72,Jun 24,DET,"L,1-5",4.26
74,ARI,73,Jun 25,DET,"L,3-6",4.27
75,ARI,74,Jun 26,DET,"W,11-7",4.31
76,ARI,75,Jun 28,SDP,"W,7-6",4.33
77,ARI,76,Jun 29,SDP,"L,0-4",4.31
78,ARI,Jul,Jul,Opp,Rslt,ERA
79,ARI,77,Jul 1,COL,"W,9-3",4.28
80,ARI,78,Jul 2,COL,"L,7-11",4.36
81,ARI,79,Jul 3,COL,"L,5-6",4.39
82,ARI,80,Jul 4,SFG,"W,8-3",4.37
83,ARI,81,Jul 5,SFG,"W,6-2",4.33
