,home_id,away_id,venue_id,event_timestamp_cst
0,111,122,98,2023-03-30 12:05:00
1,124,113,111,2023-03-30 12:05:00
2,104,114,91,2023-03-30 01:10:00
3,123,95,110,2023-03-30 01:20:00
4,121,101,108,2023-03-30 02:10:00
5,105,100,92,2023-03-30 03:05:00
6,106,116,93,2023-03-30 03:10:00
7,97,118,84,2023-03-30 03:10:00
8,108,120,95,2023-03-30 03:10:00
9,109,99,96,2023-03-30 03:10:00
10,110,107,97,2023-03-30 06:08:00
11,115,102,102,2023-03-31 08:40:00
12,112,96,99,2023-03-31 09:07:00
13,103,98,90,2023-03-31 09:10:00
14,119,117,106,2023-03-31 09:10:00
15,109,99,96,2023-03-31 05:40:00
16,110,107,97,2023-04-01 07:10:00
17,115,102,102,2023-04-01 08:40:00
18,103,98,90,2023-04-01 09:10:00
19,119,117,106,2023-04-01 09:10:00
20,110,107,97,2023-04-01 01:10:00
21,97,118,84,2023-04-01 01:15:00
22,123,95,110,2023-04-01 01:20:00
23,105,100,92,2023-04-01 03:05:00
24,111,122,98,2023-04-01 03:05:00
25,124,113,111,2023-04-01 03:05:00
26,112,96,99,2023-04-01 03:07:00
27,104,114,91,2023-04-01 03:10:00
28,106,116,93,2023-04-01 03:10:00
29,121,101,108,2023-04-01 03:10:00
30,108,120,95,2023-04-01 03:10:00
31,109,99,96,2023-04-01 03:10:00
32,115,102,102,2023-04-02 07:40:00
33,103,98,90,2023-04-02 08:10:00
34,119,117,106,2023-04-02 08:40:00
35,121,101,108,2023-04-02 12:10:00
36,104,114,91,2023-04-02 12:35:00
37,111,122,98,2023-04-02 12:35:00
38,124,113,111,2023-04-02 12:35:00
39,106,116,93,2023-04-02 12:40:00
40,109,99,96,2023-04-02 12:40:00
41,108,120,95,2023-04-02 01:10:00
42,110,107,97,2023-04-02 01:10:00
43,97,118,84,2023-04-02 01:15:00
44,123,95,110,2023-04-02 01:20:00
45,112,96,99,2023-04-02 03:07:00
46,103,98,90,2023-04-02 03:10:00
47,115,102,102,2023-04-02 03:10:00
48,119,117,106,2023-04-02 03:10:00
49,105,100,92,2023-04-02 06:08:00
50,95,99,82,2023-04-03 01:10:00
51,107,113,94,2023-04-03 02:10:00
52,106,123,93,2023-04-03 05:40:00
53,109,120,96,2023-04-03 05:40:00
54,111,121,98,2023-04-03 06:05:00
55,124,100,111,2023-04-03 06:05:00
56,104,116,91,2023-04-03 06:10:00
57,108,118,95,2023-04-03 06:40:00
58,97,122,84,2023-04-03 06:45:00
59,105,114,92,2023-04-04 07:05:00
60,110,101,97,2023-04-04 07:10:00
61,112,117,99,2023-04-04 08:40:00
62,115,98,102,2023-04-04 08:40:00
63,119,96,106,2023-04-04 08:40:00
64,103,102,90,2023-04-04 09:10:00
65,115,98,102,2023-04-04 03:10:00
66,106,123,93,2023-04-04 05:40:00
67,109,120,96,2023-04-04 05:40:00
68,111,121,98,2023-04-04 06:05:00
