Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,30/03/2023 17:05,Nationals Park,Washington Nationals,Atlanta Braves,2 - 7
2,1,30/03/2023 17:05,Yankee Stadium,New York Yankees,San Francisco Giants,5 - 0
3,1,30/03/2023 18:10,Fenway Park,Boston Red Sox,Baltimore Orioles,9 - 10
4,1,30/03/2023 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,4 - 0
5,1,30/03/2023 19:10,Tropicana Field,Tampa Bay Rays,Detroit Tigers,4 - 0
6,1,30/03/2023 20:05,Globe Life Field,Texas Rangers,Philadelphia Phillies,11 - 7
7,1,30/03/2023 20:10,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,4 - 5
9,1,30/03/2023 20:10,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,9 - 10
10,1,30/03/2023 20:10,Kauffman Stadium,Kansas City Royals,Minnesota Twins,0 - 2
11,1,30/03/2023 20:10,loanDepot park,Miami Marlins,New York Mets,3 - 5
12,1,30/03/2023 23:08,Minute Maid Park,Houston Astros,Chicago White Sox,2 - 3
8,1,31/03/2023 01:40,Petco Park,San Diego Padres,Colorado Rockies,2 - 7
13,1,31/03/2023 02:07,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,2 - 1
14,1,31/03/2023 02:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,8 - 2
15,1,31/03/2023 02:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,3 - 0
16,1,31/03/2023 22:40,loanDepot park,Miami Marlins,New York Mets,2 - 1
17,1,01/04/2023 00:10,Minute Maid Park,Houston Astros,Chicago White Sox,6 - 3
18,1,01/04/2023 01:40,Petco Park,San Diego Padres,Colorado Rockies,1 - 4
19,1,01/04/2023 02:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,1 - 2
20,1,01/04/2023 02:10,T-Mobile Park,Seattle Mariners,Cleveland Guardians,4 - 9
21,1,01/04/2023 18:10,Minute Maid Park,Houston Astros,Chicago White Sox,6 - 4
22,1,01/04/2023 18:15,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,4 - 1
23,1,01/04/2023 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,1 - 3
24,1,01/04/2023 20:05,Globe Life Field,Texas Rangers,Philadelphia Phillies,16 - 3
