Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,25/02/2023 21:30,GEODIS Park,Nashville,New York City,2 - 0
2,1,26/02/2023 00:30,Mercedes-Benz Stadium,Atlanta,San Jose,2 - 1
3,1,26/02/2023 00:30,Bank of America Stadium,Charlotte,New England,0 - 1
4,1,26/02/2023 00:30,TQL Stadium,Cincinnati,Houston,2 - 1
5,1,26/02/2023 00:30,Audi Field,D.C.,Toronto,3 - 2
6,1,26/02/2023 00:30,DRV PNK Stadium,Miami,Montréal,2 - 0
7,1,26/02/2023 00:30,Exploria Stadium,Orlando,New York,1 - 0
8,1,26/02/2023 00:30,Subaru Park,Philadelphia,Columbus,4 - 1
9,1,26/02/2023 01:30,Q2 Stadium,Austin,St. Louis,2 - 3
10,1,26/02/2023 01:30,Toyota Stadium,Dallas,Minnesota,0 - 1
11,1,26/02/2023 03:30,BC Place,Vancouver,Salt Lake,1 - 2
12,1,27/02/2023 01:00,Lumen Field,Seattle,Colorado,4 - 0
13,1,28/02/2023 03:00,Providence Park,Portland,Kansas City,1 - 0
14,2,04/03/2023 21:15,BMO Stadium,LAFC,Portland,3 - 2
15,2,05/03/2023 00:30,Mercedes-Benz Stadium,Atlanta,Toronto,1 - 1
16,2,05/03/2023 00:30,Lower.com Field,Columbus,D.C.,2 - 0
17,2,05/03/2023 00:30,DRV PNK Stadium,Miami,Philadelphia,2 - 0
18,2,05/03/2023 00:30,Gillette Stadium,New England,Houston,3 - 0
19,2,05/03/2023 00:30,Red Bull Arena,New York,Nashville,0 - 0
20,2,05/03/2023 00:30,Exploria Stadium,Orlando,Cincinnati,0 - 0
21,2,05/03/2023 01:30,Q2 Stadium,Austin,Montréal,1 - 0
22,2,05/03/2023 01:30,Soldier Field,Chicago,New York City,1 - 1
23,2,05/03/2023 01:30,Toyota Stadium,Dallas,LA,3 - 1
24,2,05/03/2023 01:30,CITYPARK,St. Louis,Charlotte,3 - 1
25,2,05/03/2023 02:30,Dick's Sporting Goods Park,Colorado,Kansas City,0 - 0
26,2,05/03/2023 03:30,PayPal Park,San Jose,Vancouver,2 - 1
27,2,05/03/2023 03:30,Lumen Field,Seattle,Salt Lake,2 - 0
28,3,11/03/2023 17:00,Bank of America Stadium,Charlotte,Atlanta,0 - 3
29,3,11/03/2023 22:00,BC Place,Vancouver,Dallas,1 - 1
30,3,12/03/2023 00:30,TQL Stadium,Cincinnati,Seattle,1 - 0
31,3,12/03/2023 00:30,Audi Field,D.C.,Orlando,1 - 1
32,3,12/03/2023 00:30,Yankee Stadium,New York City,Miami,1 - 0
33,3,12/03/2023 00:30,Subaru Park,Philadelphia,Chicago,1 - 0
34,3,12/03/2023 00:30,BMO Field,Toronto,Columbus,1 - 1
35,3,12/03/2023 01:30,Children's Mercy Park,Kansas City,LA,0 - 0
36,3,12/03/2023 01:30,Allianz Field,Minnesota,New York,1 - 1
37,3,12/03/2023 01:30,GEODIS Park,Nashville,Montréal,2 - 0
38,3,12/03/2023 02:30,America First Field,Salt Lake,Austin,1 - 2
