,event_date,event_time_cst,home_id,away_id,venue_id
0,08/03/2023,6:00 PM,38,52,37
1,08/10/2023,6:00 PM,40,54,39
2,08/10/2023,6:00 PM,48,62,47
3,08/11/2023,6:00 PM,55,44,53
4,08/11/2023,6:00 PM,38,37,37
5,08/11/2023,6:00 PM,60,36,57
6,08/11/2023,6:00 PM,39,51,38
7,08/11/2023,6:00 PM,41,50,40
8,08/11/2023,6:00 PM,56,42,54
9,08/12/2023,6:00 PM,57,58,55
10,08/12/2023,6:00 PM,49,46,48
11,08/12/2023,6:00 PM,33,61,32
12,08/12/2023,6:00 PM,59,53,56
13,08/12/2023,6:00 PM,34,52,33
14,08/12/2023,6:00 PM,43,47,42
15,08/13/2023,6:00 PM,35,32,34
16,08/13/2023,6:00 PM,31,45,30
17,08/17/2023,6:00 PM,46,38,45
18,08/18/2023,6:00 PM,50,55,49
19,08/18/2023,6:00 PM,51,34,50
20,08/19/2023,6:00 PM,54,41,52
21,08/19/2023,6:00 PM,45,36,44
22,08/19/2023,6:00 PM,48,33,47
23,08/19/2023,6:00 PM,57,31,55
24,08/19/2023,6:00 PM,42,43,41
25,08/19/2023,6:00 PM,52,56,50
26,08/19/2023,6:00 PM,44,40,43
27,08/19/2023,6:00 PM,39,61,38
28,08/19/2023,6:00 PM,60,32,57
29,08/19/2023,6:00 PM,47,59,46
30,08/19/2023,6:00 PM,62,53,59
31,08/20/2023,6:00 PM,58,35,55
32,08/21/2023,6:00 PM,37,49,36
33,08/24/2023,6:00 PM,50,42,49
34,08/24/2023,6:00 PM,46,47,45
35,08/25/2023,6:00 PM,45,58,44
36,08/25/2023,6:00 PM,53,40,51
37,08/25/2023,6:00 PM,34,39,33
38,08/26/2023,6:00 PM,59,43,56
39,08/26/2023,6:00 PM,33,31,32
40,08/26/2023,6:00 PM,36,57,35
41,08/26/2023,6:00 PM,44,48,43
42,08/26/2023,6:00 PM,61,41,58
43,08/26/2023,6:00 PM,32,38,31
44,08/26/2023,6:00 PM,62,60,59
45,08/26/2023,6:00 PM,51,52,50
46,08/26/2023,6:00 PM,56,49,54
47,08/26/2023,6:00 PM,37,55,36
48,08/27/2023,6:00 PM,35,54,34
