Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,10/10/2023 21:30,Amalie Arena,Tampa Bay Lightning,Nashville Predators,
2,1,11/10/2023 00:00,PPG Paints Arena,Pittsburgh Penguins,Chicago Blackhawks,
3,1,11/10/2023 02:30,T-Mobile Arena,Vegas Golden Knights,Seattle Kraken,
4,1,11/10/2023 23:00,PNC Arena,Carolina Hurricanes,Ottawa Senators,
5,1,11/10/2023 23:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
6,1,11/10/2023 23:30,TD Garden,Boston Bruins,Chicago Blackhawks,
7,1,12/10/2023 02:00,Crypto.com Arena,Los Angeles Kings,Colorado Avalanche,
8,1,12/10/2023 02:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
9,1,12/10/2023 02:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
10,1,12/10/2023 23:00,KeyBank Center,Buffalo Sabres,New York Rangers,
11,1,12/10/2023 23:00,Nationwide Arena,Columbus Blue Jackets,Philadelphia Flyers,
12,1,12/10/2023 23:00,Prudential Center,New Jersey Devils,Detroit Red Wings,
13,1,13/10/2023 00:00,American Airlines Center,Dallas Stars,St. Louis Blues,
14,1,13/10/2023 00:00,Xcel Energy Center,Minnesota Wild,Florida Panthers,
15,1,13/10/2023 00:00,Bridgestone Arena,Nashville Predators,Seattle Kraken,
16,1,13/10/2023 02:30,SAP Center at San Jose,San Jose Sharks,Vegas Golden Knights,
17,1,13/10/2023 23:00,Prudential Center,New Jersey Devils,Arizona Coyotes,
18,1,13/10/2023 23:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,
19,1,14/10/2023 17:00,Canadian Tire Centre,Ottawa Senators,Philadelphia Flyers,
20,1,14/10/2023 20:00,Canada Life Centre,Winnipeg Jets,Florida Panthers,
21,1,14/10/2023 23:00,TD Garden,Boston Bruins,Nashville Predators,
22,1,14/10/2023 23:00,Nationwide Arena,Columbus Blue Jackets,New York Rangers,
23,1,14/10/2023 23:00,Little Caesars Arena,Detroit Red Wings,Tampa Bay Lightning,
24,1,14/10/2023 23:00,Centre Bell,Montréal Canadiens,Chicago Blackhawks,
25,1,14/10/2023 23:00,PPG Paints Arena,Pittsburgh Penguins,Calgary Flames,
26,1,14/10/2023 23:00,Scotiabank Arena,Toronto Maple Leafs,Minnesota Wild,
27,1,14/10/2023 23:30,UBS Arena,New York Islanders,Buffalo Sabres,
28,1,15/10/2023 00:00,Enterprise Center,St. Louis Blues,Seattle Kraken,
29,1,15/10/2023 02:00,SAP Center at San Jose,San Jose Sharks,Colorado Avalanche,
30,1,15/10/2023 02:00,T-Mobile Arena,Vegas Golden Knights,Anaheim Ducks,
31,1,15/10/2023 02:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
32,1,15/10/2023 02:30,Crypto.com Arena,Los Angeles Kings,Carolina Hurricanes,
33,1,15/10/2023 23:00,Canadian Tire Centre,Ottawa Senators,Tampa Bay Lightning,
34,1,16/10/2023 00:30,Honda Center,Anaheim Ducks,Carolina Hurricanes,
35,1,16/10/2023 23:00,Nationwide Arena,Columbus Blue Jackets,Detroit Red Wings,
36,1,16/10/2023 23:00,Prudential Center,New Jersey Devils,Florida Panthers,
37,1,16/10/2023 23:00,Madison Square Garden,New York Rangers,Arizona Coyotes,
38,1,16/10/2023 23:00,Scotiabank Arena,Toronto Maple Leafs,Chicago Blackhawks,
39,1,16/10/2023 23:00,Capital One Arena,Washington Capitals,Calgary Flames,
40,1,17/10/2023 23:00,KeyBank Center,Buffalo Sabres,Tampa Bay Lightning,
41,1,17/10/2023 23:00,Centre Bell,Montréal Canadiens,Minnesota Wild,
42,1,17/10/2023 23:00,Wells Fargo Center,Philadelphia Flyers,Vancouver Canucks,
43,1,17/10/2023 23:30,UBS Arena,New York Islanders,Arizona Coyotes,
44,1,18/10/2023 00:00,Bridgestone Arena,Nashville Predators,Edmonton Oilers,
45,1,18/10/2023 00:00,Canada Life Centre,Winnipeg Jets,Los Angeles Kings,
46,1,18/10/2023 02:00,Climate Pledge Arena,Seattle Kraken,Colorado Avalanche,
47,1,18/10/2023 02:30,SAP Center at San Jose,San Jose Sharks,Carolina Hurricanes,
48,1,18/10/2023 02:30,T-Mobile Arena,Vegas Golden Knights,Dallas Stars,
49,2,18/10/2023 23:00,Canadian Tire Centre,Ottawa Senators,Washington Capitals,
50,2,18/10/2023 23:30,Little Caesars Arena,Detroit Red Wings,Pittsburgh Penguins,
51,2,19/10/2023 23:00,KeyBank Center,Buffalo Sabres,Calgary Flames,
52,2,19/10/2023 23:00,FLA Live Arena,Florida Panthers,Toronto Maple Leafs,
