,home_id,away_id,venue_id,datetime
0,108,107,95,2023-09-04 14:10:00
1,123,113,110,2023-09-04 14:20:00
2,105,110,92,2023-09-04 16:05:00
3,112,118,99,2023-09-04 16:07:00
4,98,102,85,2023-09-04 16:10:00
5,106,119,93,2023-09-04 16:10:00
6,121,104,108,2023-09-04 16:10:00
7,117,120,104,2023-09-04 18:10:00
8,116,95,103,2023-09-04 18:35:00
9,115,100,102,2023-09-04 18:40:00
10,96,114,83,2023-09-04 21:38:00
11,117,120,104,2023-09-05 18:10:00
12,116,95,103,2023-09-05 18:35:00
13,106,119,93,2023-09-05 18:40:00
14,109,103,96,2023-09-05 18:40:00
15,121,104,108,2023-09-05 18:40:00
16,124,101,111,2023-09-05 19:05:00
17,111,99,98,2023-09-05 19:05:00
18,122,97,109,2023-09-05 19:20:00
19,123,113,110,2023-09-05 19:40:00
20,108,107,95,2023-09-05 19:40:00
21,105,110,92,2023-09-05 20:05:00
22,96,114,83,2023-09-05 21:38:00
23,98,102,85,2023-09-05 21:40:00
24,112,118,99,2023-09-05 21:40:00
25,115,100,102,2023-09-05 21:40:00
26,116,95,103,2023-09-06 12:35:00
27,117,120,104,2023-09-06 13:10:00
28,123,113,110,2023-09-06 14:20:00
29,112,118,99,2023-09-06 15:37:00
30,98,102,85,2023-09-06 15:40:00
31,115,100,102,2023-09-06 16:10:00
32,106,119,93,2023-09-06 18:40:00
33,109,103,96,2023-09-06 18:40:00
34,121,104,108,2023-09-06 18:40:00
35,124,101,111,2023-09-06 19:05:00
36,111,99,98,2023-09-06 19:05:00
37,122,97,109,2023-09-06 19:20:00
38,108,107,95,2023-09-06 19:40:00
39,105,110,92,2023-09-06 20:05:00
40,96,114,83,2023-09-06 21:38:00
41,109,103,96,2023-09-07 18:40:00
42,121,119,108,2023-09-07 18:40:00
43,124,101,111,2023-09-07 19:05:00
44,122,97,109,2023-09-07 19:20:00
45,123,98,110,2023-09-07 19:40:00
46,96,117,83,2023-09-07 21:38:00
47,123,98,110,2023-09-08 14:20:00
48,106,97,93,2023-09-08 18:40:00
49,101,107,88,2023-09-08 18:40:00
50,121,119,108,2023-09-08 18:40:00
51,124,95,111,2023-09-08 19:05:00
52,100,109,87,2023-09-08 19:05:00
53,111,103,98,2023-09-08 19:05:00
