venue_id,venue_name,venue_city,venue_state,venue_country,Street Address,City,State,Zip,,,venue_capacity,next_event_id
1,American Airlines Center,Dallas,Texas,us,2500 Victory Avenue, Dallas,TX,75219,,,,0
2,Amway Center,Orlando,Florida,us,Hughey Avenue, Orlando,FL,32801,,,,0
3,AT&T Center,San Antonio,Texas,us,,San Antonio,TX,78219,,,,0
4,Ball Arena,Denver,Colorado,us,1000 Chopper Circle, Denver,CO,80204,,,,0
5,Barclays Center,New York,New York,us,620 Atlantic Avenue, New York,NY,11217,,,,0
6,Capital One Arena,Washington,District of Columbia,us,601 F Street Northwest, Washington,DC,20004,,,,0
7,Chase Center,San Francisco,California,us,1 Warriors Way, San Francisco,CA,94158,,,18064,0
8,Crypto.com Arena,Los Angeles,California,us,1111 Figueroa Street, Los Angeles,CA,90015,,,,0
9,FedExForum,Memphis,Tennessee,us,191 Beale Street, Memphis,TN,38103,,,,0
10,Fiserv Forum,Milwaukee,Wisconsin,us,1111 North Vel R. Phillips Avenue, Milwaukee,WI,53203,,,,0
11,Footprint Center,Phoenix,Arizona,us,East Jefferson Street, Phoenix,AZ,85004,,,,0
12,Miami-Dade Arena,Miami,Florida,us,601 Biscayne Boulevard, Miami,FL,33132,,,19600,0
13,Gainbridge Fieldhouse,Indianapolis,Indiana,us,125 South Pennsylvania Street, Indianapolis,IN,46204,,,,0
14,Golden 1 Center,Sacramento,California,us,500 L Street, Sacramento,CA,95814,,,,0
15,Little Caesars Arena,Detroit,Michigan,us,2645 Woodward Avenue, Detroit,MI,48201,,,,0
16,Madison Square Garden,New York,New York,us,4 Pennsylvania Plaza, New York,NY,10001,,,,0
17,Moda Center,Portland,Oregon,us,North Multnomah Street, Portland,OR,97240,,,,0
18,Paycom Center,Oklahoma City,Oklahoma,us,100 West Reno Avenue, Oklahoma City,OK,73102,,,,0
19,Rocket Mortgage FieldHouse,Cleveland,Ohio,us,1 Huron Road East, Cleveland,OH,44115,,,,0
20,Scotiabank Arena,Old Toronto,Ontario,ca,40 Bay Street, Old Toronto,ON,M5J2J2,,,,0
21,Smoothie King Center,New Orleans,Louisiana,us,2500 Howard Avenue, New Orleans,LA,70012,,,,0
22,Spectrum Center,Charlotte,North Carolina,us,333 East Trade Street, Charlotte,NC,28202,,,,0
23,State Farm Arena,Atlanta,Georgia,us,1 State Farm Drive, Atlanta,GA,30303,,,,0
24,Target Center,Minneapolis,Minnesota,us,North 6th Street, Minneapolis,MN,55401,,,,0
25,TD Garden,Boston,Massachusetts,us,100 Legends Way, Boston,MA,2114,,,,0
26,Toyota Center,Houston,Texas,us,1510 Polk Street, Houston,TX,77010,,,,0
27,United Center,Chicago,Illinois,us,1901 West Madison Street, Chicago,IL,60612,,,,0
28,Vivint Arena,Salt Lake City,Utah,us,South Temple, Salt Lake City,UT,84180,,,,0
29,Wells Fargo Center,Philadelphia,Pennsylvania,us,Zinkoff Boulevard, Philadelphia,PA,19112,,,,0
30,Allegiant Stadium,Las Vegas,Nevada,us,3333 Al Davis Way, Las Vegas,NV,89118,,,65000,0
31,Arrowhead Stadium,Kansas City,Missouri,us,1 Arrowhead Drive, Kansas City,MO,64129,,,,0
32,AT&T Stadium,Arlington,Texas,us,900 East Randol Mill Road, Arlington,TX,76011,,,,0
33,Bank of America Stadium,Charlotte,North Carolina,us,800 South Mint Street, Charlotte,NC,28202,,,,0
34,Caesar's Superdome,New Orleans,Louisiana,us,1500 Sugar Bowl Drive, New Orleans,LA,70113,,,,0
35,Empower Field,Denver,Colorado,us,1701 Mile High Stadium Circle, Denver,CO,80204,,,,0
36,FedExField,Landover,Maryland,us,1600 Sean Taylor Road, Landover,MD,20785,,,,0
37,FirstEnergy Stadium,Cleveland,Ohio,us,100 Alfred Lerner Way, Cleveland,OH,44113,,,,0
38,Ford Field,Detroit,Michigan,us,Brush Street, Detroit,MI,48226,,,,0
